url,source,product_name,brand,ingredients,hazards_and_cautions,product_details,country_of_origin,how_to_use,ingredients_count,ingredients_list,scrape_timestamp
https://www.boots.com/vichy-mineral-89-night-cream-50ml-10354937#BVRRContainer,Boots,Vichy Mineral 89 Night Cream 50ml - Boots,Vichy Mineral 89 Night Cream 50ml,,,,France,,,,
https://www.boots.com/boots-skin-clear-with-salicylic-acid-and-niacinamide-face-gel-moisturiser-50ml-10353283#BVRRContainer,Boots,Boots Skin Clear with Salicylic Acid and Niacinamide Face Gel Moisturiser 50ml - Boots,Boots Skin Clear with Salicylic Acid and Niacinamide Face Gel Moisturiser 50ml,"Ingredients Aqua (Water), Propylene Glycol, Glycerin, Niacinamide, Butylene Glycol, Salicylic Acid, Xanthan Gum, SodiumHydroxide, Phenoxyethanol, Disodium EDTA, Sodium Hyaluronate.",,,China,,11.0,"Ingredients Aqua (Water), Propylene Glycol, Glycerin, Niacinamide, Butylene Glycol, Salicylic Acid, Xanthan Gum, SodiumHydroxide, Phenoxyethanol, Disodium EDTA, Sodium Hyaluronate.",
https://www.boots.com/okeeffes-lip-repair-unscented-10237718#BVRRContainer,Boots,"O’Keeffe's Lip Repair Unscented Lip Balm, 4.2g - Boots","O’Keeffe's Lip Repair Unscented Lip Balm, 4.2g","Ingredients Beeswax/Cera Alba, Dimethicone, Petrolatum, Hydrogenated Poly (C6-14) Olefin, Phenyl Trimethicone, Prunus Amygdalus Dulcis (Sweet ALMOND) Oil, Butyrospermum Parkii (Shea) BUTTER, Trimethylpentanediol/Adipic Acid/Glycerin Crosspolymer, Hydrogenated Polyisobutene, Polysilicone-11, Sodium Saccharin, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate",,,,,14.0,"Ingredients Beeswax/Cera Alba, Dimethicone, Petrolatum, Hydrogenated Poly (C6-14) Olefin, Phenyl Trimethicone, Prunus Amygdalus Dulcis (Sweet ALMOND) Oil, Butyrospermum Parkii (Shea) BUTTER, Trimethylpentanediol/Adipic Acid/Glycerin Crosspolymer, Hydrogenated Polyisobutene, Polysilicone-11, Sodium Saccharin, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate",
https://www.boots.com/shiseido-essential-energy-hydrating-day-cream-spf-20-50ml-10308056#BVRRContainer,Boots,Shiseido Essential Energy Hydrating Day Cream SPF 20 50ml - Boots,Shiseido Essential Energy Hydrating Day Cream SPF 20 50ml,WATER(AQUA/EAU)･ALCOHOL DENAT.･DIMETHICONE･GLYCERIN･HOMOSALATE･ETHYLHEXYL SALICYLATE･OCTOCRYLENE･DIPROPYLENE GLYCOL･ISODECYL NEOPENTANOATE･BUTYL METHOXYDIBENZOYLMETHANE･PEG-20･POLYSILICONE-15･BEHENYL ALCOHOL･DIGLYCERIN･SILICA･PHENOXYETHANOL･POLYSILICONE-11･AMMONIUM ACRYLOYLDIMETHYLTAURATE/BEHENETH-25 METHACRYLATE CROSSPOLYMER･BATYL ALCOHOL･BUTYLENE GLYCOL･BIS-BUTYLDIMETHICONE POLYGLYCERYL-3･CHLORPHENESIN･CARBOMER･POTASSIUM HYDROXIDE･ERYTHRITOL･PEG/PPG-14/7 DIMETHYL ETHER･PEG/PPG-17/4 DIMETHYL ETHER･FRAGRANCE (PARFUM)･PEG-60 GLYCERYL ISOSTEARATE･LAURYL BETAINE･ALCOHOL･TOCOPHEROL･BHT･ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER･2-O-ETHYL ASCORBIC ACID･XANTHAN GUM･SODIUM METABISULFITE･CAFFEINE･ISOSTEARIC ACID･SODIUM METAPHOSPHATE･DISODIUM EDTA･PPG-3 DIPIVALATE･PHYTOSTERYL MACADAMIATE･LINALOOL･IRON OXIDES (CI 77492)･LIMONENE･CITRUS UNSHIU PEEL EXTRACT･SODIUM HYALURONATE･ANGELICA KEISKEI LEAF/STEM EXTRACT･ZIZIPHUS JUJUBA FRUIT EXTRACT･PANAX GINSENG ROOT EXTRACT･SODIUM ACETYLATED HYALURONATE･IRON OXIDES (CI 77491)･SCUTELLARIA BAICALENSIS ROOT EXTRACT･SYZYGIUM JAMBOS LEAF EXTRACT･ALPINIA SPECIOSA LEAF EXTRACT･SODIUM BENZOATE･ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT (ROSMARINUS OFFICINALIS LEAF EXTRACT)･SANGUISORBA OFFICINALIS ROOT EXTRACT･PYROLA INCARNATA EXTRACT･,,,Japan,,1.0,WATER(AQUA/EAU)･ALCOHOL DENAT.･DIMETHICONE･GLYCERIN･HOMOSALATE･ETHYLHEXYL SALICYLATE･OCTOCRYLENE･DIPROPYLENE GLYCOL･ISODECYL NEOPENTANOATE･BUTYL METHOXYDIBENZOYLMETHANE･PEG-20･POLYSILICONE-15･BEHENYL ALCOHOL･DIGLYCERIN･SILICA･PHENOXYETHANOL･POLYSILICONE-11･AMMONIUM ACRYLOYLDIMETHYLTAURATE/BEHENETH-25 METHACRYLATE CROSSPOLYMER･BATYL ALCOHOL･BUTYLENE GLYCOL･BIS-BUTYLDIMETHICONE POLYGLYCERYL-3･CHLORPHENESIN･CARBOMER･POTASSIUM HYDROXIDE･ERYTHRITOL･PEG/PPG-14/7 DIMETHYL ETHER･PEG/PPG-17/4 DIMETHYL ETHER･FRAGRANCE (PARFUM)･PEG-60 GLYCERYL ISOSTEARATE･LAURYL BETAINE･ALCOHOL･TOCOPHEROL･BHT･ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER･2-O-ETHYL ASCORBIC ACID･XANTHAN GUM･SODIUM METABISULFITE･CAFFEINE･ISOSTEARIC ACID･SODIUM METAPHOSPHATE･DISODIUM EDTA･PPG-3 DIPIVALATE･PHYTOSTERYL MACADAMIATE･LINALOOL･IRON OXIDES (CI 77492)･LIMONENE･CITRUS UNSHIU PEEL EXTRACT･SODIUM HYALURONATE･ANGELICA KEISKEI LEAF/STEM EXTRACT･ZIZIPHUS JUJUBA FRUIT EXTRACT･PANAX GINSENG ROOT EXTRACT･SODIUM ACETYLATED HYALURONATE･IRON OXIDES (CI 77491)･SCUTELLARIA BAICALENSIS ROOT EXTRACT･SYZYGIUM JAMBOS LEAF EXTRACT･ALPINIA SPECIOSA LEAF EXTRACT･SODIUM BENZOATE･ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT (ROSMARINUS OFFICINALIS LEAF EXTRACT)･SANGUISORBA OFFICINALIS ROOT EXTRACT･PYROLA INCARNATA EXTRACT･,
https://www.boots.com/boots-aqua-hydrating-sleep-mask-50ml-10359359#BVRRContainer,Boots,Boots Aqua Hydrating Sleep Mask 50ml - Boots,Boots Aqua Hydrating Sleep Mask 50ml,,,,,,,,
https://www.boots.com/tocobo-powder-cream-lip-balm-10364016#BVRRContainer,Boots,TOCOBO Powder Cream Lip Balm - Boots,TOCOBO Powder Cream Lip Balm,,,,Korea,,,,
https://www.boots.com/boots-extracts-coconut-body-butter-250ml-10298523#BVRRContainer,Boots,Boots Extracts Coconut Body Butter 250ml - Boots,Boots Extracts Coconut Body Butter 250ml,,,,China,,,,
https://www.boots.com/clinique-clarifying-lotion-2-%E2%80%93-for-dry-combination-skin-60ml-10335278p#BVRRContainer,Boots,Clinique Clarifying Lotion 2 – for Dry Combination Skin 60ml - Boots,Clinique Clarifying Lotion 2 – for Dry Combination Skin 60ml,"Ingredients Water\Aqua\Eau, Alcohol Denat., Glycerin, Hamamelis Virginiana (Witch Hazel) Extract, Acetyl Glucosamine, Trehalose, Sodium Hyaluronate, Butylene Glycol, Sodium Bicarbonate, Red 6 (Ci 15850), Red 33 (Ci 17200), Ext. Violet 2 (Ci 60730) ILN46333",,,,,12.0,"Ingredients Water\Aqua\Eau, Alcohol Denat., Glycerin, Hamamelis Virginiana (Witch Hazel) Extract, Acetyl Glucosamine, Trehalose, Sodium Hyaluronate, Butylene Glycol, Sodium Bicarbonate, Red 6 (Ci 15850), Red 33 (Ci 17200), Ext. Violet 2 (Ci 60730) ILN46333",
https://www.boots.com/dove-advaned-care-body-wash-pro-age-skin-natural-nourishers-400ml-10341751#BVRRContainer,Boots,Dove Advanced Care Body Wash Pro Age Skin Natural Nourishers 400ml - Boots,Dove Advanced Care Body Wash Pro Age Skin Natural Nourishers 400ml,,,,Germany,,,,
https://www.boots.com/e45-eczema-relief-cream-60g-to-treat-symptoms-of-eczema-reduces-itching-and-redness-emollient-cream-steroid-free-10342607#BVRRContainer,Boots,E45 Eczema Relief Cream 60g – To Treat Symptoms of Eczema – Reduces itching and redness – Emollient Cream – Steroid free - Boots,E45 Eczema Relief Cream 60g – To Treat Symptoms of Eczema – Reduces itching and redness – Emollient Cream – Steroid free,"Ingredients 2QR-complex*, Aqua, Ethylhexyl Stearate, Glycerin, Zinc Oxide, Caprylic/Capric Triglyceride, Cera Microcristallina, Isopropyl Myristate, Cetearyl Ethylhexanoate, PEG-30 Dipolyhydroxystearate, Magnesium Sulfate, Phenoxyethanol, Tocopheryl Acetate, Ethylhexyl-glycerin, Sodium Benzoate, Citric Acid, Potassium Sorbate. *Purified from Aloe Barbadensis Leaf Extract.",,,,,17.0,"Ingredients 2QR-complex*, Aqua, Ethylhexyl Stearate, Glycerin, Zinc Oxide, Caprylic/Capric Triglyceride, Cera Microcristallina, Isopropyl Myristate, Cetearyl Ethylhexanoate, PEG-30 Dipolyhydroxystearate, Magnesium Sulfate, Phenoxyethanol, Tocopheryl Acetate, Ethylhexyl-glycerin, Sodium Benzoate, Citric Acid, Potassium Sorbate. *Purified from Aloe Barbadensis Leaf Extract.",
https://www.boots.com/pixi-collagen-tonic-100ml-10278540#BVRRContainer,Boots,Pixi Collagen Tonic 100ml - Boots,Pixi Collagen Tonic 100ml,,,,,,,,
https://www.boots.com/beauty-of-joseon-ginseng-essence-water-150ml-10348090#BVRRContainer,Boots,Beauty of Joseon Ginseng Essence Water 150ml - Boots,Beauty of Joseon Ginseng Essence Water 150ml,,,,Korea,,,,
https://www.boots.com/avene-hyaluron-activ-b3-night-cream-40ml-10323735#BVRRContainer,Boots,Avene Hyaluron Activ B3 Night Cream for Ageing Skin 40ml - Boots,Avene Hyaluron Activ B3 Night Cream for Ageing Skin 40ml,,,,France,,,,
https://www.boots.com/pixi-vitamin-c-serum-10263702#BVRRContainer,Boots,PIXI Vitamin-C Serum - Boots,PIXI Vitamin,,,,,,,,
https://www.boots.com/bobbi-brown-soothing-cleansing-oil-200ml-10341286#BVRRContainer,Boots,Bobbi Brown Soothing Cleansing Oil 200ml - Boots,Bobbi Brown Soothing Cleansing Oil 200ml,,,,,,,,
