url,source,product_name,brand,ingredients,hazards_and_cautions,product_details,country_of_origin,how_to_use,ingredients_count,ingredients_list,scrape_timestamp
https://www.boots.com/garnier-skinactive-micellar-delicate-eye-10241047#BVRRContainer,Boots,"Garnier Micellar Water Facial Cleanser For Delicate Skin and Eyes, 400ml - Boots","Garnier Micellar Water Facial Cleanser For Delicate Skin and Eyes, 400ml","AQUA / WATER, CYCLOPENTASILOXANE, ISOHEXADECANE, CENTAUREA CYANUS FLOWER WATER, POTASSIUM PHOSPHATE, SODIUM CHLORIDE, ARGININE, COCO-BETAINE, POLOXAMER 184, DIPOTASSIUM PHOSPHATE, DISODIUM EDTA, PROPANEDIOL, CITRIC ACID, HEXYLENE GLYCOL, MYRTRIMONIUM BROMIDE, CI 60725 / VIOLET 2, CI 61565 / GREEN 6, LINALOOL, GERANIOL, LIMONENE, BENZYL ALCOHOL, BENZYL SALICYLATE, PARFUM / FRAGRANCE (F.I.L B217772/0).",,,,,23.0,"AQUA / WATER, CYCLOPENTASILOXANE, ISOHEXADECANE, CENTAUREA CYANUS FLOWER WATER, POTASSIUM PHOSPHATE, SODIUM CHLORIDE, ARGININE, COCO-BETAINE, POLOXAMER 184, DIPOTASSIUM PHOSPHATE, DISODIUM EDTA, PROPANEDIOL, CITRIC ACID, HEXYLENE GLYCOL, MYRTRIMONIUM BROMIDE, CI 60725 / VIOLET 2, CI 61565 / GREEN 6, LINALOOL, GERANIOL, LIMONENE, BENZYL ALCOHOL, BENZYL SALICYLATE, PARFUM / FRAGRANCE (F.I.L B217772/0).",
https://www.boots.com/eucerin-hyaluron-filler-moisture-booster-night-50ml-10316589#BVRRContainer,Boots,Eucerin Hyaluron-Filler Moisture Booster Night 50ml - Boots,Eucerin Hyaluron,"Ingredients Aqua, Alcohol Denat., Glycerin, Panthenol, Distarch Phosphate, Sodium Hyaluronate, Cetearyl Isononanoate, Isopropyl Palmitate, Lauroyl Lysine, Squalane, Pantolactone, Tocopherol, Gellan Gum, Carrageenan, Dehydroxanthan Gum, Xanthan Gum, Cetyl Alcohol, Behenyl Alcohol, Citric Acid, Lactic Acid, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Phenoxyethanol, Parfum",,,,,23.0,"Ingredients Aqua, Alcohol Denat., Glycerin, Panthenol, Distarch Phosphate, Sodium Hyaluronate, Cetearyl Isononanoate, Isopropyl Palmitate, Lauroyl Lysine, Squalane, Pantolactone, Tocopherol, Gellan Gum, Carrageenan, Dehydroxanthan Gum, Xanthan Gum, Cetyl Alcohol, Behenyl Alcohol, Citric Acid, Lactic Acid, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Phenoxyethanol, Parfum",
https://www.boots.com/sundae-passionfruit-whipped-shower-foam-265ml-10358065#BVRRContainer,Boots,Sundae Passionfruit Whipped Shower Foam 265ml - Boots,Sundae Passionfruit Whipped Shower Foam 265ml,"Ingredients Water, Glycerin, Butane, Sodium Cocoyl Isethionate, Decyl Glucoside, Caprylyl/Capryl Glucoside, Stearic Acid, Propane, Fragrance, Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract, Microcitrus Australasica (Finger Lime) Fruit Extract, Tocopherol, Phenoxyethanol, Ethylhexylglycerin, Citric Acid, Potassium Sorbate, Linalool, Limonene, Banzyl Salicylate.",,,,,19.0,"Ingredients Water, Glycerin, Butane, Sodium Cocoyl Isethionate, Decyl Glucoside, Caprylyl/Capryl Glucoside, Stearic Acid, Propane, Fragrance, Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract, Microcitrus Australasica (Finger Lime) Fruit Extract, Tocopherol, Phenoxyethanol, Ethylhexylglycerin, Citric Acid, Potassium Sorbate, Linalool, Limonene, Banzyl Salicylate.",
https://www.boots.com/first-aid-beauty-facial-radiance-pads-with-glycolic-and-lactic-acids-x-60-10344797#BVRRContainer,Boots,First Aid Beauty Facial Radiance Pads with Glycolic + Lactic Acids 60 Pads - Boots,First Aid Beauty Facial Radiance Pads with Glycolic + Lactic Acids 60 Pads,"Ingredients water/aqua/eau, aloe barbadensis leaf juice, glycerin, cucumis sativus fruit extract, lactic acid, glycolic acid, leuconostoc/radish root ferment filtrate, chrysanthemum parthenium extract, sodium hydroxide, polysorbate 20, camellia sinensis leaf extract, glycyrrhiza glabra root extract, citrus nobilis fruit extract, citrus limon peel extract, hyaluronic acid, phyllanthus emblica fruit extract, edta, tetrasodium edta, phenoxyethanol, chlorphenesin",,,,,20.0,"Ingredients water/aqua/eau, aloe barbadensis leaf juice, glycerin, cucumis sativus fruit extract, lactic acid, glycolic acid, leuconostoc/radish root ferment filtrate, chrysanthemum parthenium extract, sodium hydroxide, polysorbate 20, camellia sinensis leaf extract, glycyrrhiza glabra root extract, citrus nobilis fruit extract, citrus limon peel extract, hyaluronic acid, phyllanthus emblica fruit extract, edta, tetrasodium edta, phenoxyethanol, chlorphenesin",
https://www.boots.com/vichy-capital-soleil-mattifying-3-in-1-cream-spf50-50ml-10274477#BVRRContainer,Boots,Vichy Capital Soleil Mattifying 3-in-1 Cream SPF50+ 50ml - Boots,Vichy Capital Soleil Mattifying 3,,,,,,,,
https://www.boots.com/nuxe-nuxuriance-ultra-the-global-anti-aging-cream-50-ml-10344730#BVRRContainer,Boots,NUXE Nuxuriance® Ultra The Global Anti-Aging Cream 50 ml - Boots,NUXE Nuxuriance® Ultra The Global Anti,,,,,,,,
https://www.boots.com/rituals-of-ayurveda-body-cream-220ml--10277636#BVRRContainer,Boots,Rituals The Ritual of Ayurveda Body Cream 220ml - Boots,Rituals The Ritual of Ayurveda Body Cream 220ml,,,,Germany,,,,
https://www.boots.com/boots-clear-skin-charcoal-facial-scrub-150ml-10321024#BVRRContainer,Boots,Boots Men Expert Skin Charcoal Face Scrub 150ml - Boots,Boots Men Expert Skin Charcoal Face Scrub 150ml,,,,,,,,
https://www.boots.com/no7-future-renew-damage-reversal-day-cream-spf40-50ml-10324035#BVRRContainer,Boots,No7 Future Renew Day Cream SPF40 50ml - Boots,No7 Future Renew Day Cream SPF40 50ml,,,,,,,,
https://www.boots.com/laneige-water-bank-blue-hyaluronic-intensive-moisturiser-50ml-10348262#BVRRContainer,Boots,LANEIGE Water Bank Blue Hyaluronic Intensive Moisturiser 50ml - Boots,LANEIGE Water Bank Blue Hyaluronic Intensive Moisturiser 50ml,,,,Korea,,,,
https://www.boots.com/skin1004-madagascar-centella-ampoule-55ml-10352028#BVRRContainer,Boots,SKIN1004 Madagascar Centella Ampoule 55ml - Boots,SKIN1004 Madagascar Centella Ampoule 55ml,,,,KoreaAddress,,,,
https://www.boots.com/liz-earle-radiant-glow-routine-3-piece-set-10341645#BVRRContainer,Boots,Liz Earle Radiant Glow Routine 3 Piece Set - Boots,Liz Earle Radiant Glow Routine 3 Piece Set,,,,,,,,
https://www.boots.com/it-costmetics-confidence-in-your-beauty-sleep--10291821#BVRRContainer,Boots,IT Cosmetics Confidence in Your Beauty Sleep - Boots,IT Cosmetics Confidence in Your Beauty Sleep,,,,,,,,
https://www.boots.com/garnier-classic-perfecting-care-all-in-1-bb-cream-spf15-medium-shade-50ml-10299171#BVRRContainer,Boots,Garnier Classic Perfecting Care All-in-1 BB Cream SPF15 Medium Shade 50ml - Boots,Garnier Classic Perfecting Care All,"Aqua / Water, Dimethicone, Glycerin, Phenylbenzimidazole Sulfonic Acid, Propanediol, Pentlylene Glycol, Dimethicione/PEG-10/15 Crosspolymer, Sodium Chloride, Sodium Hydroxide, Phenoxythenanol, Parfum/Fragrance, Chlorphenesin, Triethoxysilethyl Polydimethylsiloxyethyl Dimethicione, Isopropyl Titanium Triisosterate, Aloe Barbadensis Leaf Juice Powder, Disodium Edta, ALumina, Dipropylene Glycol, Linalool, Benzyl Salicylate, Limonene, Sodium Citrate, Benzyl Alcohol, Sodium Hyaluronate Geraniol, Citral, Tocopherol, [+/-MAY CONTAIN CI 77891/ Titanium Dioxide, CI 77491, CI77499 / Iron Oxides] (F.I.L B272005/1).",,,France,,29.0,"Aqua / Water, Dimethicone, Glycerin, Phenylbenzimidazole Sulfonic Acid, Propanediol, Pentlylene Glycol, Dimethicione/PEG-10/15 Crosspolymer, Sodium Chloride, Sodium Hydroxide, Phenoxythenanol, Parfum/Fragrance, Chlorphenesin, Triethoxysilethyl Polydimethylsiloxyethyl Dimethicione, Isopropyl Titanium Triisosterate, Aloe Barbadensis Leaf Juice Powder, Disodium Edta, ALumina, Dipropylene Glycol, Linalool, Benzyl Salicylate, Limonene, Sodium Citrate, Benzyl Alcohol, Sodium Hyaluronate Geraniol, Citral, Tocopherol, [+/-MAY CONTAIN CI 77891/ Titanium Dioxide, CI 77491, CI77499 / Iron Oxides] (F.I.L B272005/1).",
https://www.boots.com/no7-derm-solutions-salicylic-acid-purifying-cleanser-200ml-10352765#BVRRContainer,Boots,No7 Derm Solutions ™ Salicylic Acid Purifying Cleanser 200ml - Boots,No7 Derm Solutions ™ Salicylic Acid Purifying Cleanser 200ml,"Ingredients Aqua (Water), Sodium laureth sulfate, Glycerin, Niacinamide, Cocamidopropyl betaine, Salicylic acid, PEG-200 hydrogenated glyceryl palmate, Coco-glucoside, Glyceryl oleate, Sodium chloride, Citric acid, PEG-7 glyceryl cocoate, Sodium hydroxide, Sodium benzoate, Camellia sinensis leaf extract, Polysorbate 20, Tocopherol, Hydrogenated vegetable glycerides citrate.",,,,,18.0,"Ingredients Aqua (Water), Sodium laureth sulfate, Glycerin, Niacinamide, Cocamidopropyl betaine, Salicylic acid, PEG-200 hydrogenated glyceryl palmate, Coco-glucoside, Glyceryl oleate, Sodium chloride, Citric acid, PEG-7 glyceryl cocoate, Sodium hydroxide, Sodium benzoate, Camellia sinensis leaf extract, Polysorbate 20, Tocopherol, Hydrogenated vegetable glycerides citrate.",
https://www.boots.com/loreal-paris-revitalift-filler-smoothing-cleanser-150ml-10345747#BVRRContainer,Boots,L'Oréal Paris Revitalift Filler Smoothing Cleanser 150ml - Boots,L'Oréal Paris Revitalift Filler Smoothing Cleanser 150ml,• Hyaluronic Acid: A derm active known to hydrate the skin. • Salicylic Acid: A gentle active known to exfoliate the skin.,,,France,,1.0,• Hyaluronic Acid: A derm active known to hydrate the skin. • Salicylic Acid: A gentle active known to exfoliate the skin.,
https://www.boots.com/beautypro-retinol-anti-ageing-sheet-mask-10341843#BVRRContainer,Boots,BEAUTYPRO RETINOL Anti-Ageing Sheet Mask - Boots,BEAUTYPRO RETINOL Anti,,,,Korea,,,,
https://www.boots.com/clinique-deep-comfort-body-lotion-400ml-10097877#BVRRContainer,Boots,Clinique Deep Comfort Body Lotion 400ml - Boots,Clinique Deep Comfort Body Lotion 400ml,,,,,,,,
https://www.boots.com/pixi-vitamin-c-lotion-10263700#BVRRContainer,Boots,PIXI Vitamin-C Lotion - Boots,PIXI Vitamin,,,,,,,,
https://www.boots.com/pixi-rose-ceramide-cream-10256340#BVRRContainer,Boots,PIXI Rose Ceramide Cream - Boots,PIXI Rose Ceramide Cream,,,,,,,,
https://www.boots.com/tolpa-dermo-face-sebio-wash-gel-195ml-10342614#BVRRContainer,Boots,Tolpa Dermo Face Sebio Wash Gel 195ml - Boots,Tolpa Dermo Face Sebio Wash Gel 195ml,"Ingredients Aqua, Cocamidopropyl Betaine, Glycerin, Disodium Cocoamphodiacetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Parfum, Peat Extract, Capryloyl Salicylic Acid, Hydrolyzed Algin, Lactic Acid, Sodium Lactate, Zinc Sulfate, Glycol Distearate, Coco-Glucoside, Glyceryl Oleate, Glyceryl Stearate, Sodium Chloride, Sodium Hydroxide, Tetrasodium EDTA, Citric Acid, Methylpropanediol, Phenoxyethanol, Caprylyl Glycol, Benzoic Acid.",,,,,24.0,"Ingredients Aqua, Cocamidopropyl Betaine, Glycerin, Disodium Cocoamphodiacetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Parfum, Peat Extract, Capryloyl Salicylic Acid, Hydrolyzed Algin, Lactic Acid, Sodium Lactate, Zinc Sulfate, Glycol Distearate, Coco-Glucoside, Glyceryl Oleate, Glyceryl Stearate, Sodium Chloride, Sodium Hydroxide, Tetrasodium EDTA, Citric Acid, Methylpropanediol, Phenoxyethanol, Caprylyl Glycol, Benzoic Acid.",
https://www.boots.com/laura-mercier-honey-bath-ambre-vanille-10355484#BVRRContainer,Boots,Laura Mercier Honey Bath - Ambre Vanille - Boots,Laura Mercier Honey Bath,,,,,,,,
https://www.boots.com/eucerin-anti-age-elasticity-filler-day-cream-50ml-10226266#BVRRContainer,Boots,Eucerin Hyaluron-Filler + Elasticity Anti-Ageing Face Cream SPF15 50ml - Boots,Eucerin Hyaluron,,,,,,,,
https://www.boots.com/garnier-anti-fatigue-hyaluronicacid-icy-cucumber-cryo-jelly-face-mask-10322530#BVRRContainer,Boots,Garnier Anti-Fatigue Hyaluronic Acid & Icy Cucumber Cryo Jelly Face Mask - Boots,Garnier Anti,"All Garnier products internationally are approved by Cruelty Free International under the Leaping Bunny Programme. Our mask has a vegan formula, containing no animal-derived ingredients or by-products.",,,China,,2.0,"All Garnier products internationally are approved by Cruelty Free International under the Leaping Bunny Programme. Our mask has a vegan formula, containing no animal-derived ingredients or by-products.",
https://www.boots.com/laneige-water-bank-blue-hyaluronic-exfoliating-toner-160ml-10348264#BVRRContainer,Boots,LANEIGE Water Bank Blue Hyaluronic Exfoliating Toner 160ml - Boots,LANEIGE Water Bank Blue Hyaluronic Exfoliating Toner 160ml,,,,Korea,,,,
https://www.boots.com/eucerin-aquaphor-soothing-skin-balm-40ml-10131555#BVRRContainer,Boots,Eucerin Aquaphor Soothing Skin Balm for Dry Cracked Skin 45ml - Boots,Eucerin Aquaphor Soothing Skin Balm for Dry Cracked Skin 45ml,,,,,,,,
https://www.boots.com/the-ordinary-natural-moisturizing-factors-phytoceramides-100ml-10330796#BVRRContainer,Boots,The Ordinary Natural Moisturizing Factors + PhytoCeramides 100ml - Boots,The Ordinary Natural Moisturizing Factors + PhytoCeramides 100ml,,,,,,,,
https://www.boots.com/no7-youthful-eye-serum-10150761#BVRRContainer,Boots,No7 Youthful Eye Serum 15ml - Boots,No7 Youthful Eye Serum 15ml,,,,Germany,,,,
https://www.boots.com/dr-jart-vital-hydra-solution-hydro-plump-overnight-mask-75ml-10340595#BVRRContainer,Boots,Dr.Jart+ Vital Hydra Solution Hydro Plump Overnight Mask 75ml - Boots,Dr.Jart+ Vital Hydra Solution Hydro Plump Overnight Mask 75ml,"Hyaluronic Acid attracts and holds onto moisture to hydrate skin. PENTAVITIN™ helps strengthen skin’s moisture barrier. SJC GG, a complex with Glyceryl Glucoside, Glycerin and Water, helps boost water channels in skin by supporting natural aquaporin. Panthenol for an extra skin barrier boost. Free from: Drying Alcohol, Mineral Oil. This leave-on mask works skin’s nightshift. Concern: Dehydration Dullness Roughness Ingredients: Hyaluronic Acid PENTAVITIN™ Panthenol Result: Hydrates Plumps Smooths and Ups glow Strengthen’s Skin Barrier",,,,,5.0,"Hyaluronic Acid attracts and holds onto moisture to hydrate skin. PENTAVITIN™ helps strengthen skin’s moisture barrier. SJC GG, a complex with Glyceryl Glucoside, Glycerin and Water, helps boost water channels in skin by supporting natural aquaporin. Panthenol for an extra skin barrier boost. Free from: Drying Alcohol, Mineral Oil. This leave-on mask works skin’s nightshift. Concern: Dehydration Dullness Roughness Ingredients: Hyaluronic Acid PENTAVITIN™ Panthenol Result: Hydrates Plumps Smooths and Ups glow Strengthen’s Skin Barrier",
https://www.boots.com/aveeno-skin-renewal-firming-lotion-300ml-10329570#BVRRContainer,Boots,Aveeno Skin Renewal Firming Lotion 300ml - Boots,Aveeno Skin Renewal Firming Lotion 300ml,"Ingredients Aqua, Glycerin, Gluconolactone, Cetyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Dimethicone, C12-15 Alkyl Benzoate, Stearyl Alcohol, Butyrospermum Parkii Butter, Cocos Nucifera Oil, Avena Sativa Kernel (Oat) Flour, Argilla, Caprylyl Glycol, Sodium Hydroxide, Xanthan Gum, Chlorphenesin, Disodium EDTA, Maltodextrin, Titanium Dioxide, Potassium Bitartrate, Rubus Fruticosus Leaf Extract.",,,,,22.0,"Ingredients Aqua, Glycerin, Gluconolactone, Cetyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Dimethicone, C12-15 Alkyl Benzoate, Stearyl Alcohol, Butyrospermum Parkii Butter, Cocos Nucifera Oil, Avena Sativa Kernel (Oat) Flour, Argilla, Caprylyl Glycol, Sodium Hydroxide, Xanthan Gum, Chlorphenesin, Disodium EDTA, Maltodextrin, Titanium Dioxide, Potassium Bitartrate, Rubus Fruticosus Leaf Extract.",
https://www.boots.com/ted-baker-peony-and-camellia-hand-and-nail-balm-100ml-10342121#BVRRContainer,Boots,Ted Baker Peony & Camellia Hand & Nail Balm 100ml - Boots,Ted Baker Peony & Camellia Hand & Nail Balm 100ml,,,,,,,,
https://www.boots.com/l%E2%80%99oreal-paris-age-perfect-cell-renew-midnight-regenerative-cream-50ml-10320429#BVRRContainer,Boots,L’Oreal Paris Age Perfect Cell Renew Midnight Regenerative Cream 50ml - Boots,L’Oreal Paris Age Perfect Cell Renew Midnight Regenerative Cream 50ml,,,,GermanyAddress,,,,
https://www.boots.com/tree-hut-shea-sugar-scrub-triple-glow-510g-10346972#BVRRContainer,Boots,Tree Hut - Shea Sugar Scrub - Triple Glow 510g - Boots,Tree Hut,,,,,,,,
https://www.boots.com/vichy-neovadiol-rose-platinum-moisturiser-10246615#BVRRContainer,Boots,Vichy Neovadiol Rose Platinum Moisturiser 50ml   - Boots,Vichy Neovadiol Rose Platinum Moisturiser 50ml,,,,,,,,
https://www.boots.com/estee-lauder-soft-clean-infusion-hydrating-essence-lotion-with-amino-acid-waterlily-400ml-10316765#BVRRContainer,Boots,Estée Lauder Soft Clean Infusion Hydrating Essence Lotion with Amino Acid + Waterlily 400ml - Boots,Estée Lauder Soft Clean Infusion Hydrating Essence Lotion with Amino Acid + Waterlily 400ml,,,,,,,,
