url,source,product_name,brand,ingredients,hazards_and_cautions,product_details,country_of_origin,how_to_use,ingredients_count,ingredients_list,scrape_timestamp
https://www.boots.com/qanda-hyaluronic-acid-body-wash-250ml-10347037#BVRRContainer,Boots,Q+A Hyaluronic Acid Body Wash 250ml - Boots,Q+A Hyaluronic Acid Body Wash 250ml,"Active ingredients • Saccharide Isomerate provides short and long-term hydration of skin• Hyaluronic Acid hydrates and promotes healthy skin• Giant Kelp Extract provides softer, more supple, and hydrated skin""",,,,,3.0,"Active ingredients • Saccharide Isomerate provides short and long-term hydration of skin• Hyaluronic Acid hydrates and promotes healthy skin• Giant Kelp Extract provides softer, more supple, and hydrated skin""",
https://www.boots.com/no7-pure-retinol-night-repair-cream-50ml-10296707#BVRRContainer,Boots,No7 Pure Retinol Night Repair Cream 50ml - Boots,No7 Pure Retinol Night Repair Cream 50ml,,,,,,,,
https://www.boots.com/sculpted-by-aimee-hydraglo-serum-refill-30ml-10311407#BVRRContainer,Boots,Sculpted By Aimee Hydraglo Serum Refill 30ml - Boots,Sculpted By Aimee Hydraglo Serum Refill 30ml,"Sculpted by Aimee’s first skin product is packed full of good-for-you ingredients, just like their beauty range!",,,,,2.0,"Sculpted by Aimee’s first skin product is packed full of good-for-you ingredients, just like their beauty range!",
https://www.boots.com/elizabeth-arden-ceramide-capsules-daily-youth-restoring-serum-60pc-10305676#BVRRContainer,Boots,Elizabeth Arden Ceramide Capsules Daily Youth Restoring Serum (60pc) - Boots,Elizabeth Arden Ceramide Capsules Daily Youth Restoring Serum (60pc),,,,,,,,
https://www.boots.com/bioderma-sebium-kerato-30ml-anti-blemish-gel-cream-for-acne-prone-skin-30ml-10324365#BVRRContainer,Boots,Bioderma Sebium Kerato+ 30ml anti-blemish gel cream for acne prone skin 30ml - Boots,Bioderma Sebium Kerato+ 30ml anti,"Ingredients AQUA/WATER/EAU, DI-C12-13 ALKYL MALATE, PROPANEDIOL, PROPYLHEPTYL CAPRYLATE, GLYCERIN, SALICYLIC ACID, SODIUM POLYACRYLOYLDIMETHYL TAURATE, ARACHIDYL ALCOHOL, DIMETHICONE, CETEARYL ALCOHOL, BEHENYL ALCOHOL, COCO-GLUCOSIDE, ARACHIDYL GLUCOSIDE, SODIUM HYDROXIDE, SODIUM CITRATE, CHONDRUS CRISPUS EXTRACT, MANNITOL, PROPYL GALLATE, XYLITOL, RHAMNOSE, SODIUM METABISULFITE, TOCOPHEROL, FRAGRANCE (PARFUM). [BI 2045]",,,,,23.0,"Ingredients AQUA/WATER/EAU, DI-C12-13 ALKYL MALATE, PROPANEDIOL, PROPYLHEPTYL CAPRYLATE, GLYCERIN, SALICYLIC ACID, SODIUM POLYACRYLOYLDIMETHYL TAURATE, ARACHIDYL ALCOHOL, DIMETHICONE, CETEARYL ALCOHOL, BEHENYL ALCOHOL, COCO-GLUCOSIDE, ARACHIDYL GLUCOSIDE, SODIUM HYDROXIDE, SODIUM CITRATE, CHONDRUS CRISPUS EXTRACT, MANNITOL, PROPYL GALLATE, XYLITOL, RHAMNOSE, SODIUM METABISULFITE, TOCOPHEROL, FRAGRANCE (PARFUM). [BI 2045]",
https://www.boots.com/sundae-birthday-cake-whipped-shower-foam-265ml-10358064#BVRRContainer,Boots,Sundae Birthday Cake Whipped Shower Foam 265ml - Boots,Sundae Birthday Cake Whipped Shower Foam 265ml,,,,,,,,
https://www.boots.com/florence-by-mills-dreamy-dew-moisturizer-10270305#BVRRContainer,Boots,Florence By Mills Dreamy Dew Moisturiser - Boots,Florence By Mills Dreamy Dew Moisturiser,"Willow Bark Extract: A balancing ingredient that helps calm skin and keep pores happy. Lotus Flower Blend: A gentle blend of Egyptian and sacred lotus flowers that controls oil so we feel dewy, not greasy. Vitamin B12: A calming friend that helps hydrate and bring out that inner glow.",,,,,2.0,"Willow Bark Extract: A balancing ingredient that helps calm skin and keep pores happy. Lotus Flower Blend: A gentle blend of Egyptian and sacred lotus flowers that controls oil so we feel dewy, not greasy. Vitamin B12: A calming friend that helps hydrate and bring out that inner glow.",
https://www.boots.com/clinique-moisture-surge-face-spray-all-skin-types-125ml-10035743#BVRRContainer,Boots,Clinique Moisture Surge™ Face Spray Thirsty Skin Relief 125ml - Boots,Clinique Moisture Surge™ Face Spray Thirsty Skin Relief 125ml,,,,,,,,
https://www.boots.com/bareminerals-ageless-phyto-procollagen-firming-anti-age-cream-10323690#BVRRContainer,Boots,bareMinerals Ageless 10% Phyto ProCollagen Firming Anti-Age Cream - Boots,bareMinerals Ageless 10% Phyto ProCollagen Firming Anti,,,,,,,,
https://www.boots.com/byoma-balancing-face-mist-100ml-10307029#BVRRContainer,Boots,Byoma Balancing Face Mist 100ml - Boots,Byoma Balancing Face Mist 100ml,,,,,,,,
